,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.097,0.109,3.000
1,"(5, 10]",1.055,0.113,8.000
2,"(10, 15]",1.153,0.078,13.000
3,"(15, 20]",1.275,0.052,18.000
4,"(20, 25]",1.275,0.052,23.000
5,"(25, 30]",1.300,0.063,28.000
6,"(30, 35]",1.330,0.074,33.000
7,"(35, 40]",1.143,0.073,38.000
8,"(40, 45]",1.182,0.084,43.000
9,"(45, 50]",1.295,0.100,48.000
10,"(50, 55]",1.213,0.099,53.000
11,"(55, 60]",1.167,0.107,58.000
12,"(60, 65]",0.951,0.087,63.000
13,"(65, 70]",0.956,0.091,68.000
14,"(70, 75]",0.976,0.092,73.000
15,"(75, 80]",0.895,0.092,78.000
16,"(80, 85]",0.997,0.115,83.000
17,"(85, 90]",0.954,0.154,88.000
18,"(90, 95]",1.340,0.352,93.000
19,"(95, 100]",0.835,0.616,98.000
